Ingredients,Recipe,Name,Time
"[potato,onion,bacon,spinach,peas]",https://www.themealdb.com/meal/52780-Potato-Gratin-with-Chicken,Potato Gratin with Chicken,25
"[egg,onion,garlic,carrot,chicken, flour]",https://www.themealdb.com/meal/52820-Katsu-Chicken-curry,Katsu Chicken Curry,45
"[onion,celery,carrot,potato,tomato,milk]",https://www.themealdb.com/meal/52841-Creamy-Tomato-Soup,Creamy Tomato Soup,35
"[salmon,tomato,lemon]",https://www.themealdb.com/meal/52959-Baked-salmon-with-fennel-&-tomatoes,Baked Salmon with Fennel and Tomatoes,50
"[onion,lamb,potato,fennel,tomato,garlic,ginger]",https://www.themealdb.com/meal/52782-Lamb-tomato-and-sweet-spices,Lamb Tomato and Sweet Spices,120
"[eggplant,pork,garlic,sugar]",https://www.themealdb.com/meal/53073-Eggplant-Adobo,Eggplant Adobo,90
"[garlic,basil,cheese,spinach,beans,tomato]",https://www.themealdb.com/meal/52849-Spinach-&-Ricotta-Cannelloni,Spinach and Ricotta Cannelloni,70
"[lemon,lamb,pita,garlic,dill]",https://www.themealdb.com/meal/53009-Lamb-and-Lemon-Souvlaki,Lamb and Lemon Souvlaki,130
"[butter,bread,onion,garlic,cheese]",https://www.themealdb.com/meal/52903-French-Onion-Soup,French Onion Soup,50
"[chicken,carrot,potato,onion,cheese,butter, sugar]",https://www.themealdb.com/meal/52996-French-Onion-Chicken-with-Roasted-Carrots-&-Mashed-Potatoes,French Onion Chicken with Roasted Carrots and Mashed Potatoes,70
"[squash,pasta,garlic]",https://www.themealdb.com/meal/52866-Squash-linguine,Squash Linguine,50
"[pork,bacon,potato,carrot,rutabaga,cabbage]",https://www.themealdb.com/meal/53037-Coddled-pork-with-cider,Coddled Pork with Cider,40
"[beef,cabbage,potato,carrot]",https://www.themealdb.com/meal/52998-Corned-Beef-and-Cabbage,Corned Beef and Cabbage,120
"[avocado,tortilla,fish,lemon,garlic]",https://www.themealdb.com/meal/52819-Cajun-spiced-fish-tacos,Cajun Spiced Fish Tacos,25
"[mint,arugula,potato,lemon,cheese]",https://www.themealdb.com/meal/52797-Spicy-North-African-Potato-Salad,Spicy North African Potato Salad,30
"[stawberry,cream,sugar]",https://www.themealdb.com/meal/53082-Strawberries-Romanoff-Recipe,Strawberries Romanoff,120
"[salmon,avocado,cucumber,spinach,mint,honey]",https://www.themealdb.com/meal/52960-Salmon-Avocado-Salad,Salmon Avocado Salad,15
"[butter,onion,rice,lemon,prawn,salmon,asparagus,cheese]",https://www.themealdb.com/meal/52823-Salmon-Prawn-Risotto,Salmon Prawn Risotto,25
"[fennel,parsley,lemon,tomato,salmon]",https://www.themealdb.com/meal/52959-Baked-salmon-with-fennel-&-tomatoes,Baked Salmon with Fennel and Tomatoes,45
"[beef,cinnamon,clove,cardamom,lime,sugar,shallot]",https://www.themealdb.com/meal/53053-Beef-Rendang,Beef Rendang,40
"[beef,egg,starch,ginger,garlic,onion,carrot,pepper,celery,mushroom]",https://www.themealdb.com/meal/52950-Szechuan-Beef,Szechaun Beef,45
"[eggplant,onion,tomato,garlic,pepper,coriander]",https://www.themealdb.com/meal/52807-Baingan-Bharta,Baingan Bharta,60
"[mushroom,chestnut,shallot,garlic,pasta,sage]",https://www.themealdb.com/meal/52864-Mushroom-&-Chestnut-Rotolo,Mushroom and Chestnut Rotolo,70
"[potato,butter,mushroom,lentil,garlic,onion,tomato,starch]",https://www.themealdb.com/meal/53000-Vegetable-Shepherds-Pie,Vegetable Shepherd's Pie,120
"[potato,carrot,egg,dill,peas,onion,mayonnaise]",https://www.themealdb.com/meal/53081-Potato-Salad-(Olivier-Salad),Potato Salad,85
